touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-0.208888916015625, 0.640179910044977, GYRO, 75829.333483875, -0.104851048961401, -0.0569889841666056, -0.000582699646509337
-2.0, -2.0, GYRO, 75829.323443875, -0.0387202317208801, 0.0866954808620035, -0.00961054942576895
-2.0, -2.0, GYRO, 75829.313403875, 0.0156647135318461, 0.0863790973245021, -0.0110473248338667
-2.0, -2.0, GYRO, 75829.303393875, 0.00496945859408786, 0.091753356404282, -0.00583019225840147
-2.0, -2.0, GYRO, 75829.293353875, -0.00657907315693175, 0.0961390500874245, -0.016603477816099
-2.0, -2.0, GYRO, 75829.283313875, -0.0396829644549437, 0.082477566327536, -0.0192301535992442
-2.0, -2.0, GYRO, 75829.273272875, -0.0922625528047051, 0.05606167147504, -0.00726536976984517
-2.0, -2.0, GYRO, 75829.263232875, -0.145929243511437, 0.0243226502356937, 0.00359180536218987
-2.0, -2.0, GYRO, 75829.253222875, -0.192007523008097, -0.0340320029379046, -0.00796178639490089
-2.0, -2.0, GYRO, 75829.243182875, -0.190568084438909, -0.0349806209181908, -0.0356370901268953
-2.0, -2.0, GYRO, 75829.233142875, -0.144468499653528, -0.029844448439864, -0.0520594729888689
-2.0, -2.0, GYRO, 75829.223101875, -0.0676512159068469, -0.0249559499429145, -0.054246460876042
-2.0, -2.0, GYRO, 75829.213092875, 0.0446130082648984, 0.00110201605907479, -0.0654506458981144
-2.0, -2.0, GYRO, 75829.203051875, 0.175000576286851, 0.0472785661999587, -0.0667300284857884
-2.0, -2.0, GYRO, 75829.193011875, 0.279428981583256, 0.0870970855543874, -0.0438817042295626
0.0684444173177083, 0.509245362060181, GYRO, 75829.182971875, 0.345402672319462, 0.0536664243906228, -0.0517390947097324
0.0684444173177083, 0.509245362060181, GYRO, 75829.172961875, 0.342056676725886, 0.0121211113853866, -0.0615909265302625
0.0684444173177083, 0.509245362060181, GYRO, 75829.162921875, 0.296130197411361, -0.030216225728039, -0.0762508293828217
0.0684444173177083, 0.509245362060181, GYRO, 75829.152880875, 0.212599617188808, -0.0649768695401893, -0.0657915305176445
0.0684444173177083, 0.509245362060181, GYRO, 75829.142840875, 0.125933431098795, -0.0666983368688165, -0.0434793005888517
0.0684444173177083, 0.509245362060181, GYRO, 75829.132800875, 0.0627747016348028, -0.02063790055146, -0.00143943856918783
0.0684444173177083, 0.509245362060181, GYRO, 75829.122790875, -0.00587440073249678, -0.0310173045839349, 0.0242510112023706
0.0684444173177083, 0.509245362060181, GYRO, 75829.112750875, -0.0772750811380662, -0.0923280665675211, -0.00787603260780034
-2.0, -2.0, GYRO, 75829.102710875, -0.0915312487693694, 0.123365078543523, -0.0271261599152201
-2.0, -2.0, GYRO, 75829.092669875, -0.0289096788972462, 0.214450514146413, 0.0380629635638485
-2.0, -2.0, GYRO, 75829.082659875, -0.0959158771880758, 0.246478754680142, 0.120445721356578
-2.0, -2.0, GYRO, 75829.072619875, -0.211647004466886, 0.122061727506038, 0.180061381306328
-2.0, -2.0, GYRO, 75829.062579875, -0.346923869934115, -0.0126484172812223, 0.182929605800344
-2.0, -2.0, GYRO, 75829.052539875, -0.436186105454737, -0.0205409614877812, 0.158317736270267
-2.0, -2.0, GYRO, 75829.042529875, -0.47302907492322, -0.00845713435765563, 0.130223783614913
-2.0, -2.0, GYRO, 75829.032489875, -0.466101127663488, 0.00338860617101682, 0.0973630389244249
