touch_x, touch_y, sensor_type, time_since_1970, x, y, z
0.175111083984375, 0.860069949766328, GYRO, 131882.841121, -0.0508618494466603, 0.148370563282713, 0.0512695794095514
0.175111083984375, 0.860069949766328, GYRO, 131882.831081, -0.0486713994500701, 0.146248023893919, 0.0459613667248055
0.175111083984375, 0.860069949766328, GYRO, 131882.821041, -0.0425858100431301, 0.100334594068735, 0.0457909244150404
0.175111083984375, 0.860069949766328, GYRO, 131882.811001, -0.0533284692482917, 0.0748225760902122, 0.0391260974710081
0.175111083984375, 0.860069949766328, GYRO, 131882.800991, -0.064193101231379, 0.0290449674806222, 0.0312852185895968
0.175111083984375, 0.860069949766328, GYRO, 131882.790951, -0.0686419118323563, -0.00931254169978908, 0.0256963087259566
0.175111083984375, 0.860069949766328, GYRO, 131882.78091, -0.0652490446035954, 0.00882891164583069, 0.0205129982963353
0.175111083984375, 0.860069949766328, GYRO, 131882.77087, -0.0457552380564334, 0.0524600124168169, 0.0199329618109161
0.175111083984375, 0.860069949766328, GYRO, 131882.76086, -0.0187358709009255, 0.103519202100252, 0.0184242810533862
-2.0, -2.0, GYRO, 131882.75082, -0.00537452539588891, 0.157919593687301, 0.00397982793301441
-2.0, -2.0, GYRO, 131882.74078, -0.0513699805826474, 0.140043391186253, 0.00649038989263211
-2.0, -2.0, GYRO, 131882.730739, -0.0815127030646003, 0.0826405517862488, -0.000594683871414694
-2.0, -2.0, GYRO, 131882.72073, -0.0690256733454367, 0.042013496724872, 0.00147512492779489
-2.0, -2.0, GYRO, 131882.710689, -0.0511084581636017, 0.012032694437196, 0.00154197027115588
-2.0, -2.0, GYRO, 131882.700649, -0.0308356769975915, 0.00659611738790826, -0.00248819140646103
-2.0, -2.0, GYRO, 131882.690609, -0.021006215730218, 0.0417450500869921, -0.00217260681728664
-2.0, -2.0, GYRO, 131882.680599, -0.0163656575307549, 0.0695202223598645, -0.0158074589662743
-2.0, -2.0, GYRO, 131882.670559, -0.0106651612174403, 0.0855774858363882, -0.0348168365111509
-2.0, -2.0, GYRO, 131882.660518, -0.0157448746806575, 0.0835620055234163, -0.0540616374963905
-2.0, -2.0, GYRO, 131882.650478, -0.0179382541544467, 0.0505547869729742, -0.0659824791678032
-2.0, -2.0, GYRO, 131882.640438, -0.0224432574544248, -0.00698227574596975, -0.077000509229679
-0.468444498697917, 0.485257356063179, GYRO, 131882.630428, -0.0335616886893966, -0.073068618196286, -0.0764348538141462
-0.468444498697917, 0.485257356063179, GYRO, 131882.620388, -0.0564134750550395, -0.120991136747826, -0.0663364132766747
-0.468444498697917, 0.485257356063179, GYRO, 131882.610348, -0.0993654697480555, -0.13787238226562, -0.0520671961560302
-0.468444498697917, 0.485257356063179, GYRO, 131882.600307, -0.123098496118406, -0.13888970980203, -0.0321419575122753
-0.468444498697917, 0.485257356063179, GYRO, 131882.590297, -0.159354504882635, -0.104614293940493, -0.0143158224397209
-0.468444498697917, 0.485257356063179, GYRO, 131882.580257, -0.213534653047534, -0.0435538690993739, 0.00236115862246425
-0.468444498697917, 0.485257356063179, GYRO, 131882.570217, -0.240188900817592, -0.0274294939633801, 0.0106273443299612
-0.468444498697917, 0.485257356063179, GYRO, 131882.560177, -0.251055397013443, -0.0583045857451048, 0.0103216134368201
-0.468444498697917, 0.485257356063179, GYRO, 131882.550167, -0.269210166164513, -0.0614013094606489, 0.0111378723109294
-0.468444498697917, 0.485257356063179, GYRO, 131882.540127, -0.259948757157653, -0.110534501043739, 0.010990599502648
-2.0, -2.0, GYRO, 131882.530086, -0.219100127093582, -0.230243592042801, 0.00447570852798717
-2.0, -2.0, GYRO, 131882.520046, -0.21338551602649, -0.209923672925496, -0.013445501395483
-2.0, -2.0, GYRO, 131882.510036, -0.178041906251721, -0.182400968323963, -0.0117802267658565
-2.0, -2.0, GYRO, 131882.499996, -0.126574986605395, -0.132574822225235, -0.00872345046666355
-2.0, -2.0, GYRO, 131882.489956, -0.073939471872742, -0.0848504428587966, -0.014182664385217
0.251555501302083, 0.622188905547226, GYRO, 131882.479915, -0.0234651123646882, -0.0349939367236412, -0.0164631292266518
0.251555501302083, 0.622188905547226, GYRO, 131882.469906, 0.00451752015710141, 0.0160253055434428, -0.0105051052359266
0.251555501302083, 0.622188905547226, GYRO, 131882.459865, 0.0100190783369871, 0.0415980435948197, -0.0102965797225734
0.251555501302083, 0.622188905547226, GYRO, 131882.449825, -0.00923025002210563, 0.0342402621351488, -0.00951733878761617
0.251555501302083, 0.622188905547226, GYRO, 131882.439785, -0.0317984097316551, 0.00237820285344076, -0.0121077955799362
0.251555501302083, 0.622188905547226, GYRO, 131882.429744, -0.0460356689192187, -0.0476956172266651, -0.00936553860548166
0.251555501302083, 0.622188905547226, GYRO, 131882.419735, -0.047558730746635, -0.0808386569927012, 0.00747496054763441
0.251555501302083, 0.622188905547226, GYRO, 131882.409694, -0.0255572917170544, -0.0853553782014756, 0.0332903125743175
0.251555501302083, 0.622188905547226, GYRO, 131882.399654, 0.03078774009797, -0.0612569661295666, 0.0565042888482112
0.251555501302083, 0.622188905547226, GYRO, 131882.389614, 0.0927416554848104, 0.00867498093482411, 0.0821675743766508
0.251555501302083, 0.622188905547226, GYRO, 131882.379604, 0.142306811796711, 0.153330434496876, 0.115531123880945
-2.0, -2.0, GYRO, 131882.369564, 0.130030171803664, 0.268541979047012, 0.135166077965882
-2.0, -2.0, GYRO, 131882.359524, 0.0383918639584733, 0.282936897371108, 0.139397840938018
