touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-0.420444498697917, 0.38730631632426, GYRO, 76930.185878375, 0.0641773885809475, -0.048566470903121, 0.0378304696006846
-0.420444498697917, 0.38730631632426, GYRO, 76930.175838375, 0.00183891273269971, -0.00223758794788458, 0.0202453506067824
-0.420444498697917, 0.38730631632426, GYRO, 76930.165828375, -0.0254880495287124, 0.0331829871823873, 0.00943824290324082
-0.420444498697917, 0.38730631632426, GYRO, 76930.155788375, -0.0553316990202493, 0.0440066064846873, 0.0144401920626276
-0.420444498697917, 0.38730631632426, GYRO, 76930.145748375, -0.095317198575026, -0.000646615512671239, 0.0317920181450389
-0.420444498697917, 0.38730631632426, GYRO, 76930.135707375, -0.111713216142208, -0.0677486876027438, 0.0280249767831218
-0.420444498697917, 0.38730631632426, GYRO, 76930.125698375, -0.0919160755468858, 0.0100459762639969, 0.0223087678193758
-2.0, -2.0, GYRO, 76930.115657375, -0.100600111229416, 0.127496706658671, 0.0143131592786309
-2.0, -2.0, GYRO, 76930.105617375, -0.089602853824043, 0.166930665551693, 0.00934210278788896
-2.0, -2.0, GYRO, 76930.095577375, -0.0385668336420915, 0.148487209738458, 0.00989444239797139
-2.0, -2.0, GYRO, 76930.085536375, -0.00785206415798963, 0.113109777817845, 0.00690078301661332
-2.0, -2.0, GYRO, 76930.075527375, -0.0206959574632238, 0.0791044064908416, -0.00622647062860526
-2.0, -2.0, GYRO, 76930.065486375, -0.0540019826879727, 0.0419575703419804, -0.00578784799706921
-2.0, -2.0, GYRO, 76930.055446375, -0.0712118622842828, 0.0100731405071157, -0.0104398577892196
-2.0, -2.0, GYRO, 76930.045406375, -0.065941466487016, 0.0100220078141862, -0.00611301996616788
-2.0, -2.0, GYRO, 76930.035396375, -0.0516837009590588, 0.0718121387939867, -0.00453190122698784
-2.0, -2.0, GYRO, 76930.025356375, -0.00302668257887505, 0.185654818543822, 0.0020298613828584
-0.256888916015625, 0.592203898050975, GYRO, 76930.015315375, 0.0675729189707985, 0.238542534631705, 0.0106723517523835
-0.256888916015625, 0.592203898050975, GYRO, 76930.005275375, 0.0667337569113146, 0.0966881939041988, 0.00137525638691692
-0.256888916015625, 0.592203898050975, GYRO, 76929.995235375, 0.00773914612777027, -0.030115025606616, 0.0425338784018735
-0.256888916015625, 0.592203898050975, GYRO, 76929.985225375, -0.010857441448144, -0.0447107462769043, -0.00783501992701312
-0.256888916015625, 0.592203898050975, GYRO, 76929.975185375, -0.0418129606947891, -0.0754116673233378, -0.0201108609717334
-0.256888916015625, 0.592203898050975, GYRO, 76929.965145375, -0.10892355490035, -0.0590300308260423, -0.0155549912949348
-0.256888916015625, 0.592203898050975, GYRO, 76929.955104375, -0.19296492941998, -0.0222805383118209, -0.0100403836257077
-0.256888916015625, 0.592203898050975, GYRO, 76929.945095375, -0.16088875198663, -0.0203097991051623, -0.0160095928930113
-2.0, -2.0, GYRO, 76929.935054375, 0.010822021405646, 0.0351185726626569, 0.00565282572980219
-2.0, -2.0, GYRO, 76929.925014375, 0.115298363601673, 0.0430175084558319, 0.00916020888543655
-2.0, -2.0, GYRO, 76929.914974375, 0.0732185541656575, 0.0796471587209998, -0.013543239407489
-2.0, -2.0, GYRO, 76929.904933375, 0.107136041176689, 0.0602199312010898, -0.00895514548150045
-2.0, -2.0, GYRO, 76929.894924375, 0.0758968952739502, 0.0134585508848244, -0.00854208919642916
-2.0, -2.0, GYRO, 76929.884883375, 0.00198565290876308, -0.0628665806924105, -0.0205484183388334
-2.0, -2.0, GYRO, 76929.874843375, -0.0439003463571932, -0.0775134340556283, -0.0244086703389032
-2.0, -2.0, GYRO, 76929.864803375, -0.0513579963577421, -0.0423389350100797, -0.00727469083366045
-2.0, -2.0, GYRO, 76929.854793375, -0.0373798627442432, -0.0285432279312513, -0.00915142045383929
-2.0, -2.0, GYRO, 76929.844753375, 0.00412683442518679, -0.0224248816429032, -0.00113344135993772
-2.0, -2.0, GYRO, 76929.834712375, 0.0589591907410462, -0.0559498187092567, 0.0260094964701499
-2.0, -2.0, GYRO, 76929.824672375, 0.0848464481171615, -0.146840843552571, 0.0364983564234269
-0.454222249348958, 0.51424287856072, GYRO, 76929.814632375, 0.0587631820848164, -0.214981015835556, 0.0389916078359591
-0.454222249348958, 0.51424287856072, GYRO, 76929.804622375, -0.0035121768455965, -0.146276786033692, 0.0279179177073007
-0.454222249348958, 0.51424287856072, GYRO, 76929.794582375, -0.0781288905835456, -0.0305107713446018, 0.00735644987912588
-0.454222249348958, 0.51424287856072, GYRO, 76929.784542375, -0.134175382040372, 0.0178751372366118, -0.00161760404611413
-0.454222249348958, 0.51424287856072, GYRO, 76929.774501375, -0.147827811052554, 0.0350567873253671, -0.00808881917889767
-0.454222249348958, 0.51424287856072, GYRO, 76929.764491375, -0.12724743478064, 0.0882688764340223, -0.00540834754173292
-0.454222249348958, 0.51424287856072, GYRO, 76929.754451375, -0.111117200690248, 0.113768111239313, -0.00293453720515831
-0.454222249348958, 0.51424287856072, GYRO, 76929.744411375, -0.11248047285226, 0.0913224569399072, 0.00757616066905742
-0.454222249348958, 0.51424287856072, GYRO, 76929.734371375, -0.0774654971560069, 0.0527380464346211, 0.000360325695487721
-0.454222249348958, 0.51424287856072, GYRO, 76929.724330375, 0.0258228088777353, 0.0425067141587547, 0.00375452450479371
-2.0, -2.0, GYRO, 76929.714321375, 0.0741394752706069, -0.019761187920606, 0.0253341188177058
-2.0, -2.0, GYRO, 76929.704280375, 0.0246483548370104, -0.112231467290337, 0.0124875623513815
-2.0, -2.0, GYRO, 76929.694240375, -0.0160713782303012, -0.172737421992502, -0.00220403211814958
-2.0, -2.0, GYRO, 76929.684200375, -0.0594369618406065, -0.13404435451474, -0.00787363576281927
-2.0, -2.0, GYRO, 76929.674190375, -0.0911464219918529, -0.081605114754426, -0.00160561982120877
-2.0, -2.0, GYRO, 76929.664150375, -0.0803528964098708, -0.0528829223979215, 0.00294732037839069
-2.0, -2.0, GYRO, 76929.654109375, -0.0271149746386418, -0.0478969522050751, 0.0100441120512338
-0.607111165364583, 0.436281859070465, GYRO, 76929.644069375, 0.0316689801026773, -0.0215817248417841, 0.0120023344007691
-0.607111165364583, 0.436281859070465, GYRO, 76929.634029375, 0.0650109580021423, 0.0208994229705058, 0.0115930065412239
-0.607111165364583, 0.436281859070465, GYRO, 76929.624019375, 0.060902233072368, 0.0156529956230497, -0.00233213016658239
-0.607111165364583, 0.436281859070465, GYRO, 76929.613979375, 0.0364277826545399, -0.00228392695085195, -0.0144561710291681
-0.607111165364583, 0.436281859070465, GYRO, 76929.603939375, 0.0172719312497089, 0.00422750191439178, -0.0136007636870347
-0.607111165364583, 0.436281859070465, GYRO, 76929.593898375, 0.0226376682140005, 0.00314306271851152, -0.0167329074450769
-0.607111165364583, 0.436281859070465, GYRO, 76929.583888375, 0.0247841760526044, 0.00100614225983194, -0.0188469247183818
-0.607111165364583, 0.436281859070465, GYRO, 76929.573848375, -0.00963877893332379, -0.0372155457049853, -0.0152335477513623
-0.607111165364583, 0.436281859070465, GYRO, 76929.563808375, -0.0472849577865749, -0.1031037489702, -0.023525299805324
