touch_x, touch_y, sensor_type, time_since_1970, x, y, z
-2.0, -2.0, ACCEL, 88102.61085075, 0.152145385742188, -0.250503540039062, -1.02030944824219
-2.0, -2.0, ACCEL, 88102.60081075, 0.110733032226562, -0.246139526367188, -1.00578308105469
-2.0, -2.0, ACCEL, 88102.59080075, 0.0811004638671875, -0.260452270507812, -0.957290649414062
-2.0, -2.0, ACCEL, 88102.58076075, 0.052490234375, -0.241683959960938, -0.937408447265625
-2.0, -2.0, ACCEL, 88102.57072075, 0.0083160400390625, -0.1834716796875, -0.977432250976562
-2.0, -2.0, ACCEL, 88102.56067975, -0.022735595703125, -0.160995483398438, -1.01222229003906
-2.0, -2.0, ACCEL, 88102.55067075, 0.0066070556640625, -0.164566040039062, -1.028564453125
-2.0, -2.0, ACCEL, 88102.54062975, 0.04595947265625, -0.170303344726562, -0.981338500976562
-2.0, -2.0, ACCEL, 88102.53058975, 0.0302734375, -0.227706909179688, -0.97052001953125
-2.0, -2.0, ACCEL, 88102.52057975, -0.0096282958984375, -0.270599365234375, -1.04666137695312
-2.0, -2.0, ACCEL, 88102.51053975, -0.0262603759765625, -0.246963500976562, -1.06570434570312
-2.0, -2.0, ACCEL, 88102.50049975, -0.0426483154296875, -0.246856689453125, -1.03955078125
-2.0, -2.0, ACCEL, 88102.49045875, -0.05615234375, -0.267654418945312, -1.06045532226562
-0.445333333333333, 0.587206381550436, ACCEL, 88102.48044975, -0.0259246826171875, -0.26165771484375, -1.09266662597656
-0.445333333333333, 0.587206381550436, ACCEL, 88102.47040875, 0.0188751220703125, -0.267776489257812, -1.03146362304688
-0.445333333333333, 0.587206381550436, ACCEL, 88102.46036875, 0.057708740234375, -0.278472900390625, -0.92742919921875
-2.0, -2.0, ACCEL, 88102.45032875, 0.0902557373046875, -0.269973754882812, -0.908493041992188
-2.0, -2.0, ACCEL, 88102.44031875, 0.0761566162109375, -0.237380981445312, -0.89129638671875
-2.0, -2.0, ACCEL, 88102.43027875, 0.0256500244140625, -0.212860107421875, -0.856826782226562
-2.0, -2.0, ACCEL, 88102.42023875, -0.0104522705078125, -0.219680786132812, -0.837326049804688
-2.0, -2.0, ACCEL, 88102.41019775, -0.01727294921875, -0.269424438476562, -0.826675415039062
-2.0, -2.0, ACCEL, 88102.40018875, 0.0743408203125, -0.37579345703125, -0.83740234375
-2.0, -2.0, ACCEL, 88102.39014775, 0.297012329101562, -0.598480224609375, -0.880935668945312
-2.0, -2.0, ACCEL, 88102.38010775, 0.348052978515625, -0.740829467773438, -0.917251586914062
-2.0, -2.0, ACCEL, 88102.37006775, 0.0731201171875, -0.543853759765625, -0.95623779296875
-2.0, -2.0, ACCEL, 88102.36005775, -0.20928955078125, -0.236099243164062, -0.977676391601562
-2.0, -2.0, ACCEL, 88102.35001775, -0.309127807617188, -0.0949554443359375, -0.978317260742188
-2.0, -2.0, ACCEL, 88102.33997675, -0.29815673828125, -0.061920166015625, -0.999740600585938
-2.0, -2.0, ACCEL, 88102.32993675, -0.253875732421875, -0.115951538085938, -1.00025939941406
-2.0, -2.0, ACCEL, 88102.31992675, -0.18994140625, -0.200531005859375, -0.977264404296875
-2.0, -2.0, ACCEL, 88102.30988675, -0.117095947265625, -0.2818603515625, -0.9560546875
-2.0, -2.0, ACCEL, 88102.29984675, -0.085357666015625, -0.360015869140625, -0.948562622070312
-2.0, -2.0, ACCEL, 88102.28980575, -0.0927581787109375, -0.388687133789062, -0.948257446289062
-2.0, -2.0, ACCEL, 88102.27979675, -0.0806732177734375, -0.3609619140625, -0.944747924804688
